
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
• Avoid: Very long furrows on flat ground — water doesn't reach the end.

11. How do I reduce water wastage during flood irrigation?
• Level land precisely — laser leveling saves 20–30% water.
• Reduce irrigation time — don't let water stand for more than 2–3 hours.
• Use shorter irrigation sets and alternate furrow irrigation.
• Apply mulch to reduce evaporation.
• Irrigate at night or early morning to reduce evaporation losses.
• Reuse tail water by installing a collection pond.

12. What happens if I miss irrigation at the flowering stage?
• Severe yield loss: 20–60% depending on crop and duration of stress.
• Wheat: Affects grain number and weight.
• Maize: Causes poor pollination, missing kernels.
• Rice: Reduces panicle filling and grain weight.
• Vegetables: Cause flower/fruit drop, blossom end rot (tomato).
• If missed, apply irrigation as soon as possible; damage is often irreversible.

13. How do I irrigate during a drought period?
• Prioritize critical growth stages (see crop-specific critical stages above).
• Apply deficit irrigation — give 50–70% of normal water at less critical stages.
• Mulch heavily to conserve soil moisture.
• Apply anti-transpirants (kaolin, silicon) to reduce water loss through leaves.
• Grow drought-tolerant varieties.
• Harvest rainwater from rooftops/roads into farm ponds.

14. What is the role of mulching in saving irrigation water?
• Mulch reduces evaporation from soil surface by 30–70%.
• Materials: Straw, plastic film, crop residues, dry leaves.
• Black plastic mulch: Best for vegetables — warms soil, prevents weeds.
• Organic mulch: Improves soil as it decomposes.
• Apply 5–10 cm thick around plants.
• Especially valuable in hot, dry conditions.

15. How many irrigations does sugarcane need in total?
• Total: 20–30 irrigations per season (12–14 months).
• Heavy irrigation needed: Germination, tillering, grand growth period.
• Critical stage: Grand growth (4–9 months after planting) — do not stress.
• Reduce water 2 months before harvest (improves sugar content).
• Water requirement: 1,500–2,500 mm per season.

16. What is the best time of day to irrigate crops?
• Early morning (5–9 AM): Best — lower evaporation, reduces disease risk.
• Evening: Acceptable but increases fungal disease risk (wet foliage overnight).
• Afternoon/midday: Worst — highest evaporation losses.
• For drip/subsurface: Time is less critical as water goes directly to roots.

17. How do I manage irrigation in saline water conditions?
• Irrigate more frequently with smaller amounts to leach salts downward.
• Apply 10–20% extra water as a leaching fraction.
• Drip irrigation minimizes salt accumulation near roots.
• Grow salt-tolerant crops: Barley, cotton, sugar beet, date palm.
• Mix saline water with fresh water if possible.
• Monitor soil EC regularly; if >4 dS/m, take corrective action.

18. What is deficit irrigation and when should I use it?
• Deficit irrigation: Deliberately applying less water than full crop requirement.
• Use when: Water is scarce, irrigation costs are high, or drought conditions.
• Apply full water at critical stages; reduce at vegetative and ripening stages.
• Can save 20–40% water with only 5–15% yield reduction.
• Example: Skip 1–2 irrigations during early vegetative stage in wheat.

19. How can I measure the water flow in my field channel?
• Float method: Place float in channel, measure time to travel a known distance; multiply by cross-section area.
• Current meter: Measures flow velocity directly.
• Weir/flume: Install a V-notch or rectangular weir — measure water height, use formula.
• Portable ultrasonic flow meter: Available for rental from irrigation departments.
• Simple bucket method: For small pipes/channels.

20. Is bore well water safe for all crops?
• Not always — test bore water annually for EC (salinity), pH, SAR (sodium), and heavy metals.
• EC <0.7 dS/m: Suitable for all crops.
• EC 0.7–3.0 dS/m: Use salt-tolerant crops with leaching.
• EC >3.0 dS/m: Harmful to most crops; mix with fresh water.
• High iron/manganese: Damages drip emitters and affects crop nutrition.
• Contact your water testing lab or irrigation department for analysis.

SECTION D: WEATHER & CLIMATE MANAGEMENT

1. How does late monsoon affect kharif crop planting?
• Delayed monsoon shortens the growing season for kharif crops.
• Short-duration varieties become necessary.
• Sow at first opportunity — even limited early moisture is enough to germinate.
• Delay reduces yield in rice, maize, cotton.
• Have irrigation backup ready if monsoon fails.

2. What should I do if rain is delayed during wheat sowing?
• Do not wait too long — sow with stored soil moisture or light irrigation.
• Apply pre-sowing irrigation (pali) to moisten the seedbed.
• Use drought-tolerant early-maturing varieties.
• Reduce seed rate slightly on dry seedbeds.
• If delay is >3 weeks past optimum, switch to a late-sowing variety.

3. How do I protect my crops from unexpected frost?
• Short-term: Irrigate before a frost event — wet soil holds more heat.
• Apply light irrigation during frost night — latent heat released protects to -2°C.
• Use frost covers/row covers for vegetables.
• Windbreaks reduce frost damage in orchards.
• Smoke generation (smudge pots) in orchards.
• Plant frost-sensitive crops away from frost hollows (low-lying areas).

4. What crops can I grow with only rainfall and no irrigation?
• Rainfed suitable crops: Wheat (300+ mm/season), sorghum, millet, chickpea, lentil, groundnut, sesame, sunflower, maize (600+ mm/season).
• Drought-tolerant crops: Sorghum, millet (250 mm), chickpea.
• Match crop water requirement to local annual/seasonal rainfall.
• Use conservation agriculture and mulching to maximize rain use.

5. How does hailstorm damage affect wheat yield and what can I do?
• At vegetative stage: Significant damage but crop can recover if growing point is intact.
• At grain filling: Very serious — knocked grains cannot recover.
• After hail: Apply foliar fertilizer (urea 2%) and fungicide to prevent disease entry.
• Check if tillers and main stem growing point is alive.
• Report to agriculture/insurance department immediately for assessment.
• Anti-hail nets in orchards can protect high-value crops.

6. When does the monsoon typically start in South Asia?
• Pakistan/India northwest: July–August.
• India/Bangladesh (eastern): June.
• Sri Lanka/southeast India: October–December (northeast monsoon).
• Check Pakistan Meteorological Department / India IMD for annual forecasts.
• El Niño years often delay monsoon — follow forecasts for early planning.

7. How can I protect vegetables from heavy rain damage?
• Use raised beds for better drainage.
• Cover crops with plastic tunnels or row covers.
• Stake and tie plants before rain season.
• Apply fungicide after rain (preventive).
• Ensure field has drainage channels so water does not stand.
• Avoid sprinkler/overhead irrigation before rain events.

8. What is the minimum rainfall needed for rainfed wheat?
• Minimum: 250–300 mm well-distributed from sowing to heading.
• Ideal: 350–450 mm.
• Critical rain periods: At sowing (germination), tillering, and grain filling.
• Below 250 mm: Use drought-resistant varieties and conservation practices.

9. How do I drain excess water from fields after heavy rain?
• Open field bunds (earthen barriers) on the lower side to release water.
• Dig emergency drainage cuts to the nearest natural drain.
• Use portable pumps if gravity drainage is not available.
• After water drains, avoid entering field until soil is firm.
• Repair field drains before next rain event.

10. What crops are suitable for dry/arid regions?
• Sorghum, millet, cowpea, moth bean: Survive on 200–350 mm rain.
• Groundnut, sesame, chickpea: 300–450 mm.
• Date palm: Extremely drought-tolerant.
• Watermelon, muskmelon: Sandy, hot, dry conditions.
• Kinnow/citrus, olive: Mediterranean-type dry conditions.
• Supplement with drip/trickle irrigation for higher returns.

11. Does fog in winter affect wheat disease levels?
• Yes — prolonged fog keeps leaf surfaces wet, encouraging yellow rust, powdery mildew, and Septoria leaf blotch.
• High humidity above 85% for >10 hours/day is a major disease driver.
• Monitor crops closely after foggy periods.
• Apply preventive fungicide if conditions persist more than 3 days.

12. How do I estimate rainwater harvesting for my farm?
• Harvestable water = Catchment area (m²) × Rainfall depth (m) × Runoff coefficient.
• Runoff coefficient: 0.6–0.8 for bare soil; 0.3–0.5 for vegetated land.
• Example: 1 hectare, 50 mm rain, coefficient 0.5 = 1,000 × 0.05 × 0.5 = 250 m³ = 250,000 liters.
• Build farm ponds, earthen tanks (kunds) to store runoff water.

13. How do I protect fruit orchards from cold waves?
• Apply irrigation before cold event (heat buffer in soil).
• Apply straw or plastic mulch around tree bases.
• Whitewash tree trunks to prevent bark splitting.
• Use windbreaks (tree rows) on north/northwest side.
• Anti-frost sprinklers (run during frost night — latent heat protection).
• Remove low-growing vegetation under trees — cold sinks into depressions.

14. What causes sudden crop lodging after strong winds?
• Weak stem base from excess nitrogen (tall, thin stems).
• Shallow root system from compacted soil.
• Heavy grain load at top (late-stage).
• Prevention: Use lodging-resistant varieties, balanced fertilizers, avoid excess nitrogen.
• Apply growth regulators (e.g., trinexapac-ethyl for wheat) to shorten internodes.
• Lodged crop: Harvest quickly to avoid mold and yield loss.

15. Does high humidity increase fungal diseases in crops?
• Yes — humidity >80% and temperatures of 15–25°C are ideal for most fungal pathogens.
• Most affected: Wheat rust, late blight (potato), downy mildew, botrytis.
• Management: Improve air circulation, avoid dense planting, schedule irrigation in morning, apply preventive fungicide.

16. How do I prepare my field for rabi sowing after heavy kharif rain?
• Wait for soil to reach "field capacity" then dry slightly — test: no mud sticking to shoes.
• Apply light tillage (cultivator) to break surface crust.
• Re-level if water has eroded bed structure.
• Apply basal fertilizer.
• Sow promptly — delay losses accrue daily.

17. What weather conditions lead to a locust attack?
• Locust outbreaks follow: Heavy rains in desert areas (breeding) + warm, dry winds (migration).
• Desert Locust (Schistocerca gregaria): Breeds in areas that received unusually high rainfall.
• Early warning: FAO Desert Locust Information Service sends alerts.
• Monitor: Unusual presence of hoppers or swarms in border areas.
• Report immediately to plant protection department.

18. Is there a crop insurance scheme for rain damage?
• Pakistan: Fasal Bima (crop insurance) pilot programs through provincial governments.
• India: Pradhan Mantri Fasal Bima Yojana (PMFBY) — subsidized crop insurance.
• USA: Federal Crop Insurance Program (USDA RMA).
• Europe: Various EU-supported agri-insurance schemes.
• Contact your agriculture department or bank for enrollment details.

19. How does temperature change affect wheat grain filling?
• Optimal grain filling temperature: 15–20°C.
• Each degree above 30°C reduces grain weight by 3–5%.
• Late sowing exposes grain filling to high spring temperatures — avoid.
• High temperature at flowering: Poor fertilization, reduced grain number.
• Select heat-tolerant varieties where late spring heat is a risk.

20. Where can I get reliable weather forecasts for farming?
• Pakistan: Pakistan Meteorological Department (PMD) — pmd.gov.pk; Agri Weather App.
• India: India Meteorological Department — imd.gov.in; Meghdoot app.
• Global: Weather.com, AccuWeather, Windy.com.
• FAO: GIEWS for crop/weather monitoring.
• Apps: Farmlogs, Climate FieldView (include forecast and agronomic alerts).
• Local: Krishi Vigyan Kendras (India), agriculture extension offices.

SECTION E: CANAL WATER & IRRIGATION SYSTEMS

1. How do I register my field for canal water turns (wari)?
• Visit your local Sub-Divisional Officer (SDO) of Irrigation Department with your land ownership documents.
• Provide field number (khasra), land area, village name.
• In Pakistan: Register through Irrigation Department offices; in India: through Water User Associations or Block offices.
• Annual registration usually required before each irrigation season.

2. What is the canal water schedule (wadda) for my area?
• Canal water schedules (warabandi) are fixed rosters allocating specific days and times.
• Obtain from: Irrigation Patwari (canal overseer), SDO office, or district irrigation office.
• Online: Some provinces publish schedules online (search your provincial Irrigation Department website).
• Each farmer receives water in proportion to land area registered.

3. How do I file a complaint if my canal water supply is stopped?
• First step: Contact local Canal Overseer / Amin or Lambardaar.
• Next: Visit Sub-Divisional Officer (SDO) Irrigation.
• Formal complaint: Executive Engineer (XEN) Irrigation Division.
• In Pakistan: You can also contact the Irrigation Department helpline or submit a complaint at the district office.
• Keep records: Dates, times, crop affected, witnesses.

4. What is the role of the Irrigation Department?
• Plans and maintains main canals, distributaries, and minors.
• Allocates water using warabandi system.
• Resolves water disputes between farmers.
• Issues canal water connections.
• Maintains canal structures (regulators, gates, bridges).
• Oversees lining and rehabilitation programs.

5. How is canal water distributed fairly between farmers?
• Warabandi system: Time-based rotation — each farmer receives water for a fixed duration proportional to their land.
• Duty: Volume of water per unit area of land.
• Distribution from head to tail should be supervised to prevent head-reach farmers taking excess water.
• Water User Associations can help enforce fair distribution at local level.

6. What is a watercourse and how is it maintained?
• A watercourse is a small farmer-made/managed channel that carries canal water from the distribution point (mogha/outlet) to individual fields.
• Maintenance: Farmers in the watercourse group (chak) collectively:
  - De-silt and clean the channel before each season.
  - Repair breaches.
  - Control water theft.
• Lined watercourses reduce losses by 30–40%.

7. Who is responsible for cleaning the minor canal near my field?
• Main canals and branches: Irrigation Department.
• Distributaries and minors: Irrigation Department, but farmer associations assist.
• Watercourses (farm channels): Farmers collectively responsible.
• If minor canal is blocked: Report to Irrigation Sub-Division office.

8. How do I measure how much water I received from the canal?
• Flow rate × time = volume.
• Use weir formula: Q = 1.84 × L × H^1.5 (for rectangular weir; L = crest length, H = head).
• Simpler: Measure mogha opening size — standard sizes are calibrated; multiply by time.
• Keep a water receipt log at your outlet.

9. Can I dig a farm pond to store canal water?
• Generally allowed with permission from Irrigation Department.
• Helps store water during high-flow periods for use during low-flow or closure.
• Line pond with plastic or compacted clay to reduce seepage.
• Volume: Plan for enough to irrigate critical crop stages during closure.
• Check local water rights laws — storage rights may be separate from flow rights.

10. What is a distributary canal?
• Canal system hierarchy: Main canal → Branch canal → Distributary canal → Minor canal → Watercourse → Field.
• Distributary: Offtakes from a branch canal, serves 1,000–4,000 hectares.
• Branch canal: Offtakes from main canal, serves large command areas.
• Distributary is closer to farm level; branch is larger and further upstream.

11. What happens if a farmer blocks a canal illegally?
• Under Canal and Drainage Act (Pakistan/India): Illegal interference with a canal is a criminal offense.
• Penalties: Fines (PKR 5,000–50,000 in Pakistan), imprisonment up to 1 year.
• Irrigation Department can forcibly remove obstruction.
• Report to SDO or Executive Engineer immediately.

12. How do I apply for a new canal water connection?
• Prepare: Land ownership documents, khasra number, sketch map.
• Submit application to Divisional Canal Officer or SDO (Irrigation).
• Technical feasibility is assessed.
• Pay prescribed fees.
• Connection (outlet/mogha) is installed by Irrigation Department.
• Process time: 1–6 months depending on area and season.

13. What is the canal command area?
• Command area: Total agricultural land that can theoretically be irrigated from a canal.
• Your field is within the command area if it is below the canal level and can receive gravity flow.
• Fields above the canal level are outside command — need lift irrigation.

14. Is there a warabandi system and how does it work?
• Warabandi: Rotational water distribution system used in Pakistan, India (Punjab, Haryana, Rajasthan).
• Each farmer in a watercourse gets water for a fixed time slot proportional to their land.
• Time turn = (Farmer's area / Total watercourse area) × Rotation period (usually 7 days).
• Applies from mogha downward through the watercourse.
• Managed jointly by farmers and Irrigation Department.

15. How do I protect my watercourse from seepage losses?
• Concrete or brick lining: Most effective — reduces seepage by 70–80%.
• Compacted clay lining: Cheaper — reduces seepage by 30–50%.
• Plastic film lining: Low cost, short life.
• Clean and de-silt regularly — sediment buildup causes breaches.
• Fill rat holes and damaged banks promptly.

16. What government schemes exist for lining watercourses?
• Pakistan: OFWM (On-Farm Water Management) — subsidized lining of watercourses (50–75% government cost-sharing).
• India: CADWM (Command Area Development and Water Management) program.
• Apply through your local Agriculture/Irrigation Department office.
• Farmer contribution: Usually 25–50% (labour or cash).

17. How do I resolve a water dispute with a neighboring farmer?
• First: Discuss directly — most disputes are resolved this way.
• Village level: Involve village headman (lambardaar) or elder.
• Official: File written complaint with Irrigation Patwari or SDO.
• Legal: Canal courts (Revenue/Irrigation courts) under Canal Act.
• Keep records: Written, dated statements of your water turns and observed violations.

18. What is the penalty for stealing canal water?
• Pakistan Canal and Drainage Act 1873: Fine up to PKR 50,000 and/or imprisonment up to 1 year for first offense.
• India Canal Acts (state-specific): Similar fines and imprisonment.
• Irrigation Department can remove obstruction and seal outlet.
• Repeat offenses carry higher penalties.

19. Can I use canal water for drip irrigation systems?
• Yes — but canal water must be filtered before use in drip systems.
• Canal water often contains silt, algae, and debris that clog emitters.
• Install: Primary filter (screen/mesh), sand filter, and disk filter in sequence.
• Flush drip laterals every 2–3 irrigations.
• Check local regulations — some canal authorities restrict non-flood water use.

20. What are the canal closure months and how do I plan irrigation?
• Pakistan Punjab/KPK canals: Usually closed for maintenance in January (Rabi) and October (Kharif) for 4–8 weeks.
• Plan: Store water in farm ponds before closure.
• Use bore well/tubewell as backup during closure.
• Schedule high water-demand crop stages to avoid closure period.
• Check exact closure dates from your local Canal Circle office annually.

SECTION F: PEST MANAGEMENT

1. How do I identify army worm in my maize crop?
• Fall Armyworm (Spodoptera frugiperda): Look for irregular holes/ragged feeding on young leaves; frass (excrement) in whorl.
• African Armyworm (Spodoptera exempta): Mass movement of caterpillars across fields.
• Larvae: Green/brown/gray with Y-shaped marks on head capsule (FAW).
• Damage is fastest in young plants (V1–V6 stage).
• Scout whorls of 20 plants per acre; take action if >20% infested.

2. What is the best way to control termites in a newly sown field?
• Seed treatment: Imidacloprid 600 FS @ 2–4 ml/kg seed.
• Soil treatment: Chlorpyrifos 40 EC @ 2 L/acre in irrigation water before sowing.
• Apply FYM/compost that is well-rotted — raw manure attracts termites.
• Remove old crop stumps and wood debris from field.
• Deep ploughing exposes termite colonies to sun and predators.

3. How do I protect my wheat from aphid attack in spring?
• Monitor weekly from January onwards.
• Economic Threshold Level (ETL): 50–100 aphids/tiller before taking action.
• Natural enemies: Ladybugs, lacewings, parasitic wasps — encourage by avoiding broad-spectrum pesticides.
• Spray: Imidacloprid, acetamiprid, or dimethoate if ETL is exceeded.
• One timely spray at ETL saves yield loss without overuse of pesticides.

4. What is the economic threshold level (ETL) for pest control?
• ETL: The pest population level at which the cost of control equals the value of crop saved.
• Below ETL: Natural enemies and crop tolerance keep losses acceptable — do not spray.
• Above ETL: Spray to prevent economic loss.
• Examples: Wheat aphid: 50–100 per tiller; Rice stem borer: 5–10% dead hearts; Cotton whitefly: 15 per leaf.
• Always scout before deciding to spray — ETL varies by crop, pest, and season.

5. How do I control whitefly in tomatoes?
• Yellow sticky traps: Monitor and mass-trap adults.
• Reflective mulch: Deters landing.
• Neem-based spray (azadirachtin): Effective against nymphs.
• Insecticide rotation: Spiromesifen → Imidacloprid → Pyriproxyfen (rotate to prevent resistance).
• Avoid dense planting; ensure good air circulation.
• Remove and destroy heavily infested leaves.

6. What are the main pests of cotton and how to control them?
• Whitefly (Bemisia tabaci): Yellow sticky traps, neem, spiromesifen, imidacloprid.
• Pink bollworm (Pectinophora gossypiella): Pheromone traps, spinosad, emamectin benzoate.
• American bollworm: Bt spray, spinosad, cypermethrin (if ETL exceeded).
• Jassid/leafhopper: Imidacloprid seed treatment.
• Thrips: Abamectin, spinosad.
• Use IPM: Pheromone traps + biological control + chemical only at ETL.

7. How do I identify pink bollworm damage in cotton?
• Entry holes in squares (flower buds) with frass.
• "Rosetted" flowers: Petals stuck together (larva feeds inside).
• Damaged bolls: Internal feeding, sticky lint with frass.
• Larvae: Pink/white caterpillars inside bolls at 3rd–4th instar.
• Use pheromone traps: Capture >8 moths/trap/week = spray threshold reached.

8. How do I control fruit fly in mango orchards?
• Protein bait spray: GF-120 NF (spinosad + bait) applied to canopy weekly.
• Methyl eugenol traps: Hang 4–6 traps/acre from fruit development.
• Cover individual fruits with paper/muslin bags.
• Collect and destroy fallen infested fruits daily.
• Field sanitation: Remove all dropped fruit.
• Chemical: Malathion bait spray (only if traps show high populations).

9. What are natural enemies of aphids I can encourage?
• Ladybird beetles (Coccinella spp.): Adults and larvae consume 100+ aphids/day.
• Lacewings (Chrysoperla spp.): Larvae are voracious aphid predators.
• Parasitic wasps (Aphidius spp.): Lay eggs inside aphids.
• Syrphid flies: Larvae feed on aphids.
• Encourage by: Planting flowers (marigold, mustard) around field, avoiding broad-spectrum pesticides, leaving field margins unsprayed.

10. How do I scout my field properly for pest populations?
• Use W-shaped or zigzag pattern across the field.
• Check at least 20–30 plants per acre (more for small fields).
• Record: Pest count per plant/leaf/stem, plant stage, % infested.
• Check crop from multiple levels: Canopy, mid-plant, base, soil.
• Scout weekly during crop growth; more frequently during high-risk periods.
• Use field scouting apps (CABI, FAO) on your smartphone.

11. What causes stem borer damage in rice and how to control it?
• Yellow stem borer (Scirpophaga incertulas): Larvae enter stem → "dead hearts" at vegetative, "white ears" at reproductive stage.
• Management:
  - Resistant varieties (IR36, IR64 tolerant).
  - Remove and destroy egg masses on seedlings.
  - Pheromone traps for monitoring.
  - Trichogramma egg parasitoids.
  - Spray chlorantraniliprole or cartap if >10% dead hearts.

12. How do I prevent cutworm from attacking seedlings?
• Cutworms cut seedlings at soil level at night.
• Prevention: Deep plough before sowing (exposes pupae).
• Seed treatment: Imidacloprid or chlorpyrifos.
• Bran bait: Mix bran + water + insecticide (carbaryl) — apply around plants at dusk.
• Furadan (carbofuran) granules in furrow at sowing (use with care — toxic).
• Physical collar: Tin/plastic collar 3–5 cm around seedlings stem (small areas).

13. What traps can I use to monitor insect pests?
• Yellow sticky traps: Whitefly, aphids, fungus gnats, leafminers.
• Blue sticky traps: Thrips.
• Pheromone traps: Species-specific for bollworm, armyworm, fruit fly, codling moth.
• Light traps: General lepidopteran and coleopteran monitoring.
• Malaise traps: General insect diversity monitoring.
• Count and record trap catches weekly to track population trends.

14. How do I control spider mites in vegetables during hot weather?
• Spider mites thrive in hot, dry conditions.
• First action: Spray with clean water (dislodges mites and raises humidity).
• Neem oil (1–2%): Disrupts mite lifecycle.
• Abamectin: Effective miticide.
• Spiromesifen or hexythiazox: Specific miticides.
• Rotate: Never use same miticide more than twice — mites develop resistance quickly.
• Encourage predatory mites (Phytoseiidae) by avoiding broad-spectrum sprays.

15. Are there biological control options for locust?
• Green Muscle (Metarhizium acridum): Entomopathogenic fungus, slow-acting but effective.
• Neem-based products: Some effect on hoppers.
• Chemical control is generally required for large swarms.
• Biological methods are best used preventively when hoppers are young and populations are small.
• FAO EMPRES Desert Locust program coordinates international management.

16. What is integrated pest management (IPM)?
• IPM: Using multiple complementary strategies to manage pests while minimizing pesticide use.
• Components:
  1. Prevention: Resistant varieties, crop rotation, clean seed, healthy soil.
  2. Monitoring: Regular scouting, traps.
  3. Biological control: Natural enemies, entomopathogenic fungi/bacteria.
  4. Cultural control: Timing, spacing, sanitation.
  5. Chemical control: Only when ETL is exceeded, use selective pesticides.
• IPM reduces cost, resistance risk, and environmental impact.

17. How do I manage thrips in onion crops?
• Blue sticky traps for monitoring.
• Avoid dense planting; improve air circulation.
• Reflective mulch reduces thrips landing.
• Spray: Spinosad, abamectin, or imidacloprid alternating.
• Biological: Orius (pirate bug) predates thrips.
• ETL: 5–10 thrips per plant before spraying.

18. What is the best way to stop a locust swarm from destroying my crop?
• Report immediately to national plant protection organization (Locust Control Center in Pakistan: 051-9206453).
• Government aerial spraying is the primary response for large swarms.
• Individual farmers: Apply organophosphate (malathion, chlorpyrifos) spray at swarm edges.
• Noise, fires, and barriers have limited effect on large swarms.
• Prioritize high-value crops; protect nurseries and orchards.
• Stay informed via FAO Desert Locust updates.

19. How do I identify beneficial insects and protect them?
• Ladybugs: Red/orange with black spots — aphid predators.
• Lacewings: Green/brown, lacy wings — larvae prey on aphids, mites.
• Ground beetles: Dark, fast-moving — feed on soil pests.
• Parasitic wasps: Tiny, often visible near aphid colonies.
• Bees/pollinators: Essential for fruit set.
• Protect by: Avoiding broad-spectrum pesticides, planting flowers for habitat, leaving uncultivated margins.

20. How do I control root knot nematode in my vegetable field?
• Crop rotation: Avoid susceptible crops (tomato, pepper, carrot) for 2–3 years; use maize, cereals, onion.
• Resistant varieties: Use nematode-resistant rootstocks for tomato/eggplant grafting.
• Soil solarization: Cover moist soil with clear plastic for 4–6 weeks in hot season.
• Organic matter: High compost levels suppress nematodes.
• Bio-nematicides: Pasteuria penetrans, Trichoderma, neem cake.
• Chemical: Fosthiazate or oxamyl (use only when organic options insufficient).

SECTION G: CROP DISEASE MANAGEMENT

1. How do I identify yellow rust in wheat?
• Yellow (Stripe) rust (Puccinia striiformis): Bright yellow powdery pustules in stripes along the leaf.
• Appears at 10–15°C with high humidity/dew.
• Spreads rapidly in cool, moist conditions.
• Confirm: Rub pustules — orange-yellow powder comes off.
• Spreads along rows (stripes); brown rust pustules are scattered randomly.

2. What is the difference between yellow rust and brown rust in wheat?
• Yellow rust: Bright yellow, arranged in stripes along veins, cool weather (10–15°C).
• Brown rust (Leaf rust): Orange-brown, randomly scattered oval pustules, warmer weather (15–25°C).
• Both spread by airborne spores.
• Yellow rust is more aggressive and can cause greater yield loss.
• Management for both: Resistant varieties + triazole fungicide (tebuconazole, propiconazole) at first sign.

3. How do I control powdery mildew in cucurbits?
• Disease: White powdery patches on upper leaf surface.
• Favored by: Warm days, cool nights, low humidity (unlike most fungi).
• Management:
  - Remove and destroy infected leaves.
  - Spray sulfur fungicide (0.3%) or potassium bicarbonate.
  - Triadimefon, myclobutanil, or azoxystrobin.
  - Ensure proper spacing for air circulation.
  - Use resistant varieties.

4. What causes late blight in potatoes and how do I manage it?
• Caused by: Phytophthora infestans.
• Favored by: Cool temperatures (10–20°C) and >90% humidity for 2+ days.
• Symptoms: Dark water-soaked patches on leaves and stems; white mold on underside; brown rot in tubers.
• Management:
  - Use certified blight-free seed.
  - Apply mancozeb + cymoxanil preventively.
  - Avoid overhead irrigation.
  - Destroy infected plant debris.
  - Use resistant varieties (e.g., Diamant, Nicola).

5. How do I identify bacterial wilt in tomatoes?
• Sudden wilting of the entire plant without yellowing.
• Cut stem: Place in water — bacterial ooze (white threads) visible streaming out.
• Brown discoloration in stem vascular tissue.
• Caused by: Ralstonia solanacearum (soil-borne).
• No effective cure once infected.
• Prevention: Crop rotation (no solanaceous crops for 3–4 years), resistant rootstock grafting, solarization.

6. What is Karnal bunt disease in wheat and how to prevent it?
• Karnal bunt (Tilletia indica): Partial bunting of grain — black powdery mass inside grain.
• Gives fishy smell to infected grain.
• Spreads through infected seed and soil; cold, humid conditions at flowering.
• Prevention: Certified bunt-free seed; seed treatment with tebuconazole or carboxin+thiram; avoid re-using seed from infected areas.

7. How do I control smut disease in maize?
• Common smut (Ustilago maydis): Large galls on ears, leaves, stalks.
• Remove and destroy galls before they turn black and release spores.
• No fungicide is effective after infection.
• Prevention: Seed treatment with thiram or carboxin; resistant varieties.
• Crop rotation; avoid injury to plants (entry points for spores).

8. What is damping-off disease and how do I prevent it in seedlings?
• Damping-off: Seedling collapse at soil line due to Pythium or Rhizoctonia fungi.
• Favored by: Wet, cool soils, poor drainage, dense seedling beds.
• Prevention:
  - Treat seed with thiram or captan.
  - Use sterile, well-drained seedling mix.
  - Avoid overwatering.
  - Apply Trichoderma to nursery soil.
  - Drench with Ridomil (metalaxyl) if outbreak starts.

9. Why are my wheat leaves turning yellow with brown spots?
• Septoria leaf blotch: Yellow lesions with brown centers and pycnidia (black dots).
• Brown/leaf rust: Scattered brown pustules.
• Nitrogen deficiency: General yellowing from base upward (no spots).
• Zinc deficiency: Yellow-brown interveinal stripes.
• Waterlogging: Yellowing of entire lower leaves.
• Diagnosis: Check pattern, presence of spores, recent weather. Take a sample to extension officer if unsure.

10. How do I manage downy mildew in grape or cucumber?
• Symptoms: Yellow patches on upper leaf, grayish mold on underside.
• Caused by: Plasmopara viticola (grape), Pseudoperonospora cubensis (cucumber).
• Management:
  - Apply mancozeb + metalaxyl or fosetyl-Al preventively.
  - Improve air flow through pruning/spacing.
  - Avoid wetting foliage.
  - Remove and destroy infected leaves.

11. What fungicide is effective against wheat rust?
• Triazole fungicides are most effective:
  - Tebuconazole 25.9% EC @ 200 ml/acre.
  - Propiconazole 25% EC @ 200 ml/acre.
  - Cyproconazole, epoxiconazole.
• Apply at first appearance of pustules or when forecast indicates high risk.
• One spray at correct timing can prevent 50–80% yield loss.
• Do not spray within 2–3 weeks of harvest (PHI).

12. How does crop rotation help reduce soil-borne diseases?
• Most soil-borne pathogens are host-specific — without host, populations decline.
• Rotate out of susceptible crops for 2–4 years.
• Example: Wheat Karnal bunt — grow non-cereal crops for 2 years.
• Fusarium (wilt of cotton, tomato): Rotate with maize, cereals, legumes.
• Use "break crops" — crops that suppress specific pathogens.

13. What is Alternaria blight and which crops does it affect?
• Alternaria: Fungal disease causing dark brown/black spots with concentric rings.
• Affects: Tomato, potato, carrot, brassicas, sunflower, cotton.
• Favored by: Warm, humid weather, plant stress.
• Management: Mancozeb, iprodione, azoxystrobin; crop rotation; remove debris; avoid overhead irrigation.

14. How do I use resistant varieties to avoid disease losses?
• Select varieties rated Resistant (R) or Moderately Resistant (MR) in national crop catalogs.
• Resistance may break down over time (especially rusts) — stay updated on new ratings.
• Combine resistance with good crop management — resistance is not absolute.
• Consult agricultural research institute or extension officer for current recommendations.

15. What causes collar rot in my vegetable nursery?
